plot.code,block,fragment,north,east,elevation,forestloss17,forestloss562,roaddensprim,roaddenssec,roaddistprim,roaddistsec,riverdist,pH,humus,soilN,soilP,bulkdens,soilmoist,soilPC1,soilPC2,ntaxa,FDisLOG,nriLOG,FRicLOG,FDisLOGr,FDisLOGe,woody,treesapling,nriLOGWoody,nriLOGSapling,nriLOGnonWoody
lf1f56r,lf,lf1,575525,527917,483,0,7.61,0,1.92,3682.2,173.5,1323,6.8,0,2.71,6.89,0.99,1.04,-0.61,0.58,19,0.272,0.246,0.174,0.869,-3.005,0.68,0.53,0.387,-0.174,-0.756
lf1m177r,lf,lf1,575362,528062,493,0,23.07,0,1.74,3870.8,207.5,1402,6.2,2.6,3.07,4.52,0.91,1.04,-2.11,0.06,10,1.234,-0.037,0.64,1.068,-2.753,0.9,0.4,-0.737,-1.017,0
lf1m17r,lf,lf1,575481,527973,477,0,8.11,0,1.92,3764.1,221.8,1360,6.4,1,3.1,7.44,0.98,1.03,-0.99,0.01,17,1.292,0.997,0.672,1.272,-3.014,0.71,0.41,0.492,0.52,0.227
lf1m562r,lf,lf1,575018,528273,550,0,7.07,0,1.61,4227,164,1031,6.5,0.6,1.19,16.09,1.19,1.04,0.77,0.15,12,0.991,0.345,0.449,0.691,-3.009,0.92,0.75,-0.194,-0.511,na
lf1m56r,lf,lf1,575433,527982,490,0,9.08,0,1.75,3775,258.2,1417,6.4,0.4,3.34,4.5,1.02,1.04,-1.05,0.16,22,0.317,0.139,0.114,0.527,-3.011,0.73,0.55,0.705,0.361,-0.968
og100f177r,og,og100,497033,524744,283,0,0,0.39,0.14,537.1,1295.3,433,5.8,1.3,2.26,5.92,1.28,1.03,0.35,-0.78,12,0.675,0.208,0.496,0.795,-3.006,0.75,0.58,0.016,-0.163,-0.118
og100f562r,og,og100,496744,524498,276,0,0,0.39,0.12,403,1130,324,5.7,0,1.45,5.1,1.18,1.02,2.19,0.62,11,1.665,-0.507,0.394,1.09,-2.323,0.82,0.55,0.482,0.747,-1.341
og100f56r,og,og100,497116,524829,281,0,0,0.39,0.14,629.5,1353.2,541,6.1,0,1.58,6,1.31,1.02,2.43,0.69,12,1.27,0.724,0.346,1.449,-3.014,0.92,0.67,-0.368,-0.398,0
og100f5r,og,og100,497164,524849,285,0,0,0.39,0.14,657.5,1356.7,506,5.5,0.5,2.06,4.71,1.19,1.02,1.17,-0.27,15,2.076,1.23,0.676,1.89,-3.008,0.93,0.8,0.442,-0.403,na
og100m177r,og,og100,497290,524975,292,0,0,0.39,0.07,814.1,1452.6,589,5.6,0,3.31,7.06,1.21,1.04,0.73,-1.52,13,0.813,0.987,0.663,0.599,-3.014,0.93,0.5,0.389,1.015,na
og100m562r,og,og100,497565,525239,274,0,0,0.32,0.04,1166.7,1690.9,625,6.6,0,2.17,3,1.16,1.02,0.96,1.67,14,0.49,0.741,0.444,0.464,-3.015,0.71,0.5,0.099,-0.154,-0.36
og100m56r,og,og100,497193,524916,295,0,0,0.39,0.08,729.7,1415.4,477,6.4,0,2.24,4.01,1.33,1.02,1.38,0.59,15,1.007,0.362,0.383,0.437,-2.844,0.8,0.6,0.319,0.309,-1.521
og100m5r,og,og100,497142,524882,286,0,0,0.39,0.08,686.1,1396.5,485,5.6,0,2.16,4.03,1.07,1.03,1,0.08,10,1.811,0.896,0.392,1.675,-3.012,1,0.8,0.525,0.181,na
og10f177r,og,og10,495561,524670,337,0,0,0.05,0,1532.7,1937.6,299,6.5,0,0.88,4.2,1.1,1.01,2.58,3.05,6,1.472,0.243,0.069,1.38,-2.982,0.67,0.33,0.9,0.066,-0.091
og10f56r,og,og10,495451,524722,383,0,0,0.05,0,1654,2055.6,324,6,0,1.15,3.96,1.11,1.02,2.45,1.97,10,1.793,1.491,0.506,1.525,-0.839,0.9,0.8,1.037,0.843,0
og10m177r,og,og10,495252,524828,432,0,0,0,0,1876,2276.2,401,7,0,1.45,5.25,1.05,1.03,0.55,2.14,10,1.402,1.156,0.444,1.349,-3.011,1,0.7,0.839,0.761,na
og10m17r,og,og10,495428,524800,357,0,0,0.05,0,1683.6,2107.9,281,6,0,2.16,5.45,1.26,1.02,1.97,0.34,21,1.441,0.614,0.57,1.406,-3.015,0.82,0.5,-0.487,0.253,-0.294
og10m1r,og,og10,495407,524750,361,0,0,0.05,0,1700.9,2123.4,332,5.2,0,2.33,2.4,1.28,1.02,2.07,-0.18,15,0.328,0.245,0.399,0.384,-3.015,0.67,0.47,0.233,1.414,-0.442
og10m562r,og,og10,494957,525099,393,0,0,0,0,2249.2,2679.4,306,6,0,1.88,7.37,1.06,1.02,1.47,0.57,8,1.409,2.22,0.455,1.933,-0.451,0.88,0.63,3.886,5.758,0
og10m56r,og,og10,495412,524848,345,0,0,0.05,0,1733.6,2167.5,259,5.4,0,1.7,5.44,1.51,1.02,3.31,-0.62,6,1.562,1.638,0.396,1.269,-3.015,0.67,0.33,-0.119,0.218,na
og1f56r,og,og1,496386,525643,742,0,0,0.05,0,1570.6,2328.6,957,6.8,0,1.75,4.41,0.88,1.03,-0.19,2.06,6,0.347,0.511,0.528,0.402,-2.994,0.86,0.43,0.071,0.484,na
og1m177r,og,og1,496166,525719,727,0,0,0.05,0,1737.8,2470.4,820,7,0,1.82,5,0.81,1.03,-0.52,2.29,7,-0.409,1.234,0.348,-0.819,-2.988,0.63,0.25,0.162,-0.499,0
og1m1r,og,og1,496326,525649,746,0,0,0.05,0,1623.6,2371.6,901,6.8,0,2.06,2.75,0.67,1.03,-1.34,2.57,13,1.11,0.507,0.42,1.207,-2.955,1,0.62,0.138,1.537,na
og1m562r,og,og1,495793,525796,627,0,0,0,0,2009.4,2693.3,640,7,0,3,4.23,1.12,1.04,-0.72,0.8,10,1.33,0.068,0.609,0.755,-3.014,0.7,0.6,-0.891,-1.081,-0.034
og1m56r,og,og1,496278,525667,722,0,0,0.05,0,1639.3,2384.4,878,6.8,0,2.15,3.7,0.98,1.03,-0.11,1.78,14,1.988,1.159,0.632,1.509,-3.014,0.87,0.6,1.333,1.325,na
og1m5r,og,og1,496349,525684,749,0,0,0.05,0,1603.6,2353.4,908,6.8,0,1.93,2.46,0.85,1.03,-0.75,2.37,10,1.244,-0.383,0.672,1.421,-2.99,1,0.5,-1.751,-0.843,na
