plot.code,block,fragment,north,east,elevation,forestloss17,forestloss562,roaddensprim,roaddenssec,roaddistprim,roaddistsec,riverdist,pH,humus,soilN,soilP,bulkdens,soilmoist,soilPC1,soilPC2,ntaxa,FDisLOG,nriLOG,FRicLOG,FDisLOGr,FDisLOGe,woody,treesapling,nriLOGWoody,nriLOGSapling,nriLOGnonWoody
c10m17r,c,c10,568305,520789,362,57.29,33.21,3.27,3.43,534.5,37.5,782,6,0.6,2.78,4.17,1.15,1.04,-0.62,-0.51,23,-0.904,-0.025,0.444,-0.726,-3.015,0.38,0.17,0.154,0.171,0.62
c10m562r,c,c10,567748,520807,264,0,30.11,3.22,3.39,663.1,70.5,233,5.8,1.8,2.48,6.27,1.01,1.03,-0.62,-0.34,14,1.463,-0.862,0.161,1.087,-3.015,0.71,0.36,-1.22,-1.065,-1.305
c10m56r,c,c10,568271,520822,356,81.08,32.24,3.13,3.54,569.5,17.5,747,5.8,0.5,2.29,2.47,1.34,1.04,0.27,-0.35,9,0.248,0.401,0.519,0.109,-3.009,0.33,0.11,-0.363,0,0.914
c10m5r,c,c10,568324,520826,355,72.08,33.66,3.08,3.47,572.5,4,798,5.8,0,2.69,5.48,1.11,1.05,0.1,-0.83,14,0.356,0.461,0.548,-0.805,-2.908,0.13,0,0.073,na,2.222
c1f56r,c,c1,569735,521088,345,99.08,22.62,0.74,4.05,898.2,50.5,987,5.4,0,1.87,5.99,1.28,1.03,2,-0.77,13,0.804,-0.948,0.439,-0.023,-3.008,0.46,0.08,-1.208,0,-0.859
c1f5r,c,c1,569755,521131,352,53.77,22.52,0.66,4.19,834.1,14,981,5.9,0,2.24,7.35,1.26,1.02,2.22,-0.03,18,-0.26,0.216,0.288,-0.828,-3.015,0.5,0.22,0.247,0.037,0.139
c1m177r,c,c1,569992,521085,312,45.73,26.76,0.41,4.34,738.3,23.9,745,6.5,0.3,2.03,5.55,1.42,1.01,2.06,0.83,10,-0.387,0.757,0.559,-0.127,-3.013,0.27,0.09,0.505,0,1.173
c1m1r,c,c1,569798,521106,346,61.74,22.88,0.56,4.14,868.8,31.6,932,6,0,1.76,4.58,1.23,1.03,1.52,0.46,18,1.17,0.535,0.219,1.517,-3.015,0.78,0.5,0.408,-0.237,-0.303
c1m562r,c,c1,570360,521068,252,85.35,30.53,0.53,4.19,618.2,9.7,407,5.7,1.5,1.95,3.33,1.04,1.04,-0.41,0.26,8,-1.054,-0.571,0.242,-1.133,-0.425,0.25,0.13,1.215,0,-0.999
c1m56r,c,c1,569841,521058,326,53.75,23.74,0.52,4.21,804.7,25.4,875,6.2,0,0.88,2.49,1.39,1.03,2.47,1.82,13,-0.674,-0.288,0.447,-0.438,-3.014,0.54,0.23,0.216,0.773,0.174
c1m5r,c,c1,569801,521061,329,14.28,23.52,0.69,4.14,916.4,32.4,917,5.8,0,2.89,9.52,1.1,1.04,0.44,-1.19,10,0.9,-0.08,0.592,0.65,-0.707,0.8,0.3,-1.158,-1.564,-0.27
d100f177r,d,d100,565692,520419,294,60.37,46.35,1.52,2.79,59.6,25.5,1413,6.1,2.2,2.87,6.48,1.22,1.05,-1.23,-1.2,9,0.019,0.146,0.422,0.016,-2.731,0.67,0.22,-0.386,0.246,1.041
d100f562r,d,d100,565713,520790,329,76.12,49.97,1.24,2.72,50.5,163.9,1631,6.2,1.2,2.38,6.98,1.31,1.09,-1.1,-1.49,11,-0.284,-0.541,0.356,-0.489,-3.012,0.36,0.18,-0.168,-0.594,-0.615
d100f56r,d,d100,565659,520295,301,88.1,46.4,1.62,2.67,124.5,111.4,1394,6.2,0.3,4.67,14.62,1.13,1.06,-1.28,-2.3,13,-0.351,0.704,0.618,-0.793,-3.002,0.29,0,-0.005,na,1.821
d100f5r,d,d100,565628,520252,317,64.08,46.4,1.6,2.68,171.2,116.5,1409,6.8,0.3,3,3.82,0.97,1.05,-1.7,0.79,12,0.045,0.16,0.384,-0.34,-3.005,0.5,0.08,0.061,0,0.776
d100m177r,d,d100,565632,520067,335,71.47,43.82,2.3,2.65,229.5,72.7,1358,6.4,1.6,3.5,4.28,1.03,1.05,-2.06,-0.27,14,0.141,0.067,0.563,0.124,-2.865,0.82,0.35,-0.775,-0.161,0.122
d100m562r,d,d100,565633,519695,331,18.85,32.64,3.13,2.35,123.9,150.9,1240,6,1.1,2.28,3.44,0.99,1.04,-0.81,0.5,10,0.247,-0.327,0.428,0.432,-2.827,0.6,0.5,-0.04,-0.195,-1.226
d100m56r,d,d100,565654,520184,316,99.75,45.35,2.04,2.61,196.6,39.8,1364,6.4,0.9,3.02,3.66,1.1,1.04,-1.28,0.1,15,0.442,-0.039,0.363,0.063,-3.008,0.6,0.13,0.474,2.108,-0.679
d100m5r,d,d100,565681,520239,304,62.49,46.11,1.97,2.64,137,70.2,1355,6,0.4,4.59,6.58,0.98,1.06,-1.81,-1.46,13,0.885,1.22,0.548,0.751,-3.008,0.85,0.23,1.141,0.95,0
d10f177r,d,d10,564747,520161,354,54.47,29.5,1.31,3.05,429.9,92.7,1230,5.7,0.5,3.35,2.66,0.97,1.05,-1.27,-0.36,14,-0.446,-0.816,0.196,-1.364,-3.015,0.29,0.07,-1.108,0,0.326
d10f56r,d,d10,564664,520237,383,87.5,31.15,1.28,2.9,323,124.5,1160,6.5,0.7,5.99,7.55,1.16,1.04,-1.51,-1.36,19,0.582,0.138,0.454,0.813,-2.96,0.75,0.35,0.288,-0.32,-1.082
d10f5r,d,d10,564616,520279,422,75.25,31.75,1.28,2.89,266.7,109.8,1122,6.3,0,3.11,4.26,0.74,1.03,-0.96,1.02,19,0.092,0.725,0.422,-1.016,-3.008,0.42,0.32,1.426,0.742,0.545
d10m177r,d,d10,564534,520414,404,68.01,33.76,1.25,2.83,116.4,29.2,1068,6,0.5,1.41,5.22,1.02,1.04,0.13,0.67,9,0.372,0.306,0.41,-0.719,-3.011,0.56,0,0.896,na,-0.176
d10m562r,d,d10,564302,520725,487,70.14,32.92,1.13,2.69,15.7,123.3,863,6.4,0,2.87,7.92,1.29,1.04,0.65,-0.61,14,-0.87,-0.978,0.344,-1.2,-3.015,0.36,0.14,0.584,-0.445,-0.545
d10m56r,d,d10,564609,520337,415,76.82,31.82,1.28,2.85,209.7,60.9,1124,6.1,0,3.34,55.44,1.06,1.05,0.33,-2.59,23,-1.777,-1.184,0.368,-0.944,-3.014,0.48,0.3,-0.184,-0.685,-0.832
d10m5r,d,d10,564664,520307,399,81.93,31.99,1.28,2.85,261.6,60.6,1174,6.2,0,6.08,14.68,1.05,1.05,-0.95,-2.16,14,-0.077,1.029,0.336,-0.72,-2.843,0.5,0.21,0.296,1.352,1.593
d1f1r,d,d1,564630,521439,495,70.41,27.4,1.07,2.45,295.8,23.9,1373,5,0,1.82,1.85,1.38,1.03,2.3,-0.33,18,-0.174,-0.266,0.605,-1.11,-3.001,0.17,0.06,-0.195,0,1.015
d1f56r,d,d1,564655,521381,481,77.67,28.48,1.07,2.6,345.8,6.1,1368,6.5,2,1.44,3.91,0.99,1.03,-0.47,1.83,19,-0.276,0.571,0.452,-0.648,-3.015,0.5,0.3,0.214,0.105,0.753
d1m177r,d,d1,564474,521525,528,34.25,25.8,1.04,2.13,247.7,47.3,1284,6.2,0.6,2,3.72,1.03,1.03,-0.13,0.96,15,-0.389,-0.999,0.188,-0.737,-2.98,0.67,0.33,-1.404,-1.176,-1.099
d1m17r,d,d1,564596,521396,485,8.47,28.23,1.04,2.42,347.6,30.5,1322,5.8,0.6,2.15,4.81,1.2,1.03,0.74,-0.09,22,0.883,0.424,0.372,1.111,-2.999,0.78,0.61,-0.944,-1.384,0.868
d1m562r,d,d1,564149,521730,619,32.83,15.16,0.72,2.01,134.4,41,1134,6,0.2,3.85,2.37,0.75,1.07,-2.67,-0.01,15,-0.188,0,0.232,0.065,-3.015,0.59,0.41,-1.3,-1.687,-0.442
d1m56r,d,d1,564561,521436,496,29.08,27.6,1.04,2.39,322.8,24.9,1311,6,0.5,2.41,5.2,1.03,1.04,-0.43,-0.07,18,0.598,0.259,0.208,0.563,-3.014,0.68,0.37,-0.94,-0.422,-0.667
e100f177r,e,e100,565265,518258,358,29.9,12.96,3.55,1.97,337.2,241.3,727,6.8,0.7,2.27,4.12,1.06,1.04,-0.97,1.11,7,0.117,0.261,0.414,0.268,-2.956,0.71,0.57,-0.063,-0.296,0
e100f1r,e,e100,565439,518265,286,79.8,13.49,4.21,1.94,162.5,335.5,564,6,0.1,3.47,5.87,1.07,1.04,-0.36,-0.68,12,-0.961,-0.412,0.423,-1.075,-3.002,0.23,0.08,0.018,0,0.158
e100f562r,e,e100,564898,518315,420,53.62,14.33,2.07,2.36,698.2,135.7,1097,6.7,0.3,1.1,6.1,1.12,1.03,0.76,1.74,13,-0.483,-0.669,0.445,-0.657,-2.953,0.21,0.14,-0.148,-0.473,0.274
e100f56r,e,e100,565376,518258,331,68.74,13.14,3.92,1.93,226.1,297.4,620,7,1.5,3.45,7.8,1.28,1.03,-0.99,-0.21,18,-0.389,0.55,0.299,0.384,-3.002,0.58,0.37,0.206,-0.198,0.759
e100f5r,e,e100,565440,518305,266,63.2,14.5,4.24,1.94,156.6,369.4,580,6.8,0.6,1.75,1.82,0.92,1.03,-1.16,2.57,13,-0.366,-0.362,0.292,-0.456,-2.995,0.38,0.14,0.646,-0.397,-1.338
e100m177r,e,e100,565613,518229,260,31.07,14.45,4.83,1.7,20.8,430.1,390,6.4,0.3,2.72,7.5,1.07,1.03,-0.08,0.14,12,1.306,1.175,0.542,1.52,-3.001,0.85,0.31,1.272,0.677,-0.02
e100m1r,e,e100,565441,518228,300,57.4,13.42,4.27,1.87,171.5,307.3,550,5.4,0.3,1.64,4.85,1.17,1.02,1.85,0.16,16,-0.319,0.326,0.569,-0.49,-2.875,0.41,0.35,1.526,1.265,0.802
e100m562r,e,e100,566003,518213,164,29.29,39.91,6.6,1.31,167.5,576,99,6.4,0.8,1.81,5.41,1.36,1.03,0.85,0.34,10,0.088,0.093,0.538,0.302,-2.672,0.8,0.5,-0.35,-1.421,-0.043
e100m56r,e,e100,565494,518252,304,26.2,13.61,4.44,1.88,114.2,363.7,508,6.6,1,2.27,6.3,1.03,1.03,-0.56,0.82,13,0.723,1.034,0.574,0.673,-3.015,0.71,0.29,0.614,0.213,0.268
e10f177r,e,e10,563706,518524,353,11.23,10.87,0.13,2.82,1676.9,24.8,411,5.7,0,1.61,44.58,1.47,1.06,2.31,-2.94,12,-0.774,-1.129,0.433,-1.181,-1.317,0.33,0.17,0.17,0.587,-1.497
e10f56r,e,e10,563746,518410,393,10.2,12.06,0.13,2.73,1727.8,57.3,462,6.8,1.1,3.41,5.04,1.01,1.08,-2.76,-0.29,12,0.17,-0.639,0.598,-0.332,-3.014,0.31,0,0.707,na,-0.216
e10f5r,e,e10,563707,518364,374,51.33,10.55,0.07,2.86,1776.6,2.7,439,5.5,1,3.02,10.23,1.06,1.06,-0.86,-2.04,7,0.193,1.082,0.527,0.643,-1.403,0.86,0.57,1.121,0.331,0
e10m177r,e,e10,563683,518171,385,10.56,10.91,0,2.95,1918.4,159,389,6.5,0.8,2.93,5.85,0.87,1.06,-2.15,0.06,10,0.202,1.682,0.367,0.385,-2.999,0.82,0.55,1.761,1.976,na
e10m1r,e,e10,563671,518361,361,80.92,9.79,0.04,2.86,1812.3,27.5,405,5.6,0,0.88,51.1,1.18,1.07,2.17,-1.84,18,-1.089,0.177,0.591,-1.382,-3.014,0.3,0.2,0.204,0.168,1.186
e10m562r,e,e10,563694,517791,249,0,10.58,0,2.93,1981.1,75,184,6.3,0.3,1.51,9.04,0.72,1.06,-1.29,0.67,7,1.146,1.22,0.555,0.965,-1.236,1,0.71,0.238,-1.067,na
e10m56r,e,e10,563725,518294,379,71.66,11.18,0.07,2.84,1778,28.3,481,5.8,0.4,9.43,18.54,1.28,1.08,-1.65,-4.47,14,-0.666,-1.096,0.564,-0.897,-3.005,0.27,0.13,-0.106,0.567,-0.654
e10m5r,e,e10,563744,518345,385,0,11.45,0.13,2.87,1750.7,26.9,480,6.4,3,3.38,11.84,0.81,1.09,-3.41,-1.15,5,1.251,0.953,0.667,1.442,0.279,1,0.83,0.649,0.142,na
e1f56r,e,e1,564608,519440,454,48.36,27.51,1.38,3.05,658.2,64.2,1083,6.4,0.9,2.98,4.81,1.27,1.03,-0.29,-0.19,11,-1.572,-0.37,0.352,-0.916,-2.957,0.46,0.18,0.212,0.02,-0.589
e1f5r,e,e1,564644,519482,430,11.08,26.2,1.38,3.01,641.7,119.3,1111,6.5,0,2.61,6.65,1.26,1.03,0.99,0.15,18,-0.045,-0.814,0.274,-0.38,-3.015,0.55,0.3,-1.015,-1.736,-0.418
e1m177r,e,e1,564527,519667,443,80.55,24.25,1.34,3.01,838,37.7,969,6,1,3.88,2.54,1.07,1.04,-1.41,-0.23,13,0.021,0.17,0.498,0.24,-3.005,0.57,0.29,-0.434,-0.677,0.854
e1m17r,e,e1,564571,519502,429,83.63,27.06,1.34,3.06,716.3,86.6,1041,6.4,0.5,4.93,4.43,1.07,1.04,-1.59,-0.6,18,-0.715,-0.472,0.238,-0.642,-2.987,0.61,0.28,0.503,-0.345,-1.492
e1m1r,e,e1,564610,519499,427,85.53,26.37,1.34,3,682.5,112.7,1079,6.6,0.5,3.29,4.81,1.25,1.03,-0.31,0.03,19,-0.406,-1.155,0.599,-0.739,-3.014,0.3,0.1,0.636,0.09,-0.327
e1m562r,e,e1,564356,520020,468,99.75,30.6,1.26,2.87,563.1,93.5,831,6.4,0.9,3.54,3.33,0.95,1.05,-2.21,0.08,10,-0.1,-1.103,0.596,-0.147,-3.013,0.3,0,-1.079,na,-1.052
e1m56r,e,e1,564564,519549,443,73.88,26.36,1.34,3.14,743.3,83.5,1021,6,0.3,4.59,5.27,1.1,1.04,-1.08,-1.25,15,-0.908,-1.134,0.471,-0.996,-3.014,0.19,0.06,0.17,0,-0.272
f100f177r,f,f100,559192,518983,321,44.23,21.9,2.21,2.31,18.3,137,671,6,0.3,2.92,3.97,1.29,1.04,0.2,-0.57,26,0.644,-0.622,0.378,0.674,-3.015,0.58,0.27,-0.183,-1.432,-0.47
f100f17r,f,f100,559065,518887,295,13.8,23.79,2.16,2.24,27.9,115,615,6.2,1.1,2.81,6.19,0.97,1.03,-0.91,0.05,16,0.461,-0.531,0.209,0.265,-3.011,0.81,0.63,-0.641,-1.085,-1.532
f100f562r,f,f100,559374,519300,299,0,18.8,2.5,2.28,42.6,197.2,635,6.1,1.1,2.93,4.7,0.95,1.04,-1.31,-0.02,12,-0.49,0.164,0.254,-0.403,-3.015,0.67,0.25,0.018,0.157,-0.554
f100f56r,f,f100,559122,518893,311,29.7,23.65,2.11,2.37,29,118.5,656,6.4,0.8,4.06,5.23,0.95,1.04,-1.86,-0.27,10,-0.361,-0.656,0.465,-0.692,-2.987,0.7,0.3,-1.478,-0.74,0.245
f100m177r,f,f100,559003,518690,254,0,23.64,1.9,2.09,201.2,80.1,705,6.5,0.6,2.43,5.59,0.96,1.04,-0.9,0.67,14,0.516,-0.785,0.301,0.442,-3.015,0.71,0.5,-0.615,-0.829,-0.489
f100m1r,f,f100,559088,518845,291,48.75,23.87,2,2.23,25,68.7,661,6.3,0.1,2.92,5.54,1.04,1.03,-0.31,0.14,16,-0.702,-0.559,0.37,-1.278,-3.014,0.38,0.06,0.485,0,0.013
f100m562r,f,f100,558755,518379,207,39.56,20.2,1.35,1.95,537.9,172.1,573,6.8,0.5,2.78,5.5,0.96,1.04,-1.31,0.79,19,-0.001,-0.388,0.214,0.286,-3.015,0.62,0.38,-1.152,-1.077,-0.941
f100m56r,f,f100,559036,518803,280,17.94,24.24,2.01,2.11,91.1,35,650,6.2,1.5,3.44,8.28,1.06,1.05,-1.47,-1.04,17,0.308,0.217,0.402,0.767,-3.002,0.79,0.53,-0.501,0.437,0.178
f100m5r,f,f100,559026,518881,290,17.98,23.78,2.17,2.24,67.9,108.6,590,6.4,0,4.76,7.91,1.25,1.03,-0.01,-1.19,15,-0.545,-1.293,0.453,-1.464,-3.014,0.4,0.13,-0.163,0.593,-0.798
f10f177r,f,f10,560535,519463,506,0,11.56,0.85,1.78,982.7,231.5,1225,6,0.7,4.38,2.12,1.21,1.05,-1.52,-0.87,18,1.227,-0.773,0.491,0.401,-3.007,0.61,0.33,0.862,1.125,-1.74
f10f56r,f,f10,560674,519476,579,0,11.66,0.66,1.7,1093.3,261.5,1305,6.2,2.5,2.7,1.06,0.99,1.03,-1.76,1.63,22,-0.799,-0.579,0.266,-0.713,-3.007,0.65,0.44,0.146,0.809,-0.882
f10f5r,f,f10,560724,519473,610,0,11.45,0.66,1.65,1140,225.6,1321,6.2,2.5,2.52,1.6,0.73,1.05,-3,1.42,16,-0.226,-1.045,0.328,-0.043,-3.008,0.71,0.41,-1.073,0.238,0.182
f10m177r,f,f10,560877,519350,680,0,5.3,0.57,1.6,1334.3,211.4,1512,6.3,1.2,2.24,0.91,0.7,1.06,-3.01,2.15,16,1.066,-0.157,0.242,0.468,-1.623,0.75,0.63,1.077,0.701,-0.986
f10m17r,f,f10,560736,519419,596,0,9.81,0.66,1.7,1176.8,240.2,1372,6.4,0.4,2.05,1.27,0.77,1.05,-2.09,2.1,16,1.266,-0.034,0.451,1.053,-3.014,0.88,0.75,0.87,0.821,1.054
f10m562r,f,f10,561173,519121,751,0,1.34,0.43,1.63,1705.5,452.2,1925,6.5,1.1,2.54,1.17,0.86,1.05,-2.51,1.8,16,2.16,1.014,0.485,1.989,-3.003,0.88,0.71,0.377,0.023,0
f10m56r,f,f10,560761,519354,601,0,7.45,0.66,1.72,1232.1,243.6,1443,6.4,0.4,4.66,1.28,0.96,1.05,-2.43,0.63,18,0.206,-0.342,0.317,0.357,-3.003,0.78,0.5,0.03,0.485,-0.412
f10m5r,f,f10,560710,519371,606,0,8.65,0.85,1.7,1180,215.9,1401,6.8,0.6,2.45,2.29,0.94,1.03,-1.35,1.92,14,1.204,0.953,0.471,1.199,-2.952,0.93,0.57,0.321,-0.065,na
