species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
calnod,Calophyllaceae,Calophyllum,nodosum,Calophyllum nodosum,yes,yes,n,F,35,141.03,0.55,J,S,1,s,p,d
calplu,Lamiaceae,Callicarpa,plumosa,Callicarpa plumosa,yes,yes,n,F,6,142.19,0.35,N,W,2,s,p,d
can035,Burseraceae,Canarium,sp. TFD035,Canarium sp. TFD035,yes,yes,n,F,na,154.17,0.53,J,W,2,s,p,h
cancon,Rubiaceae,Canthium,confertum,Canthium confertum,yes,yes,n,F,13,131.69,0.6,na,W,1,s,p,h
canden,Burseraceae,Canarium,denticulatum,Canarium denticulatum,yes,yes,n,F,50,154.17,0.53,J,W,2,s,p,h
carbra,Rhizophoraceae,Carallia,brachiata,Carallia brachiata,yes,yes,n,F,35,275.36,0.68,J,W,1,s,p,h
celunk,Celastraceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,134.81,na,na,na,na,s,p,na
cen140,Poaceae,Centotheca,sp. TFD140,Centotheca sp. TFD140,no,no,n,B,0.5,172.92,na,Q,V,na,na,na,p
cenpub,Leguminosae,Centrosema,pubescens,Centrosema pubescens,no,no,e,D,2,304.91,na,na,Y,3,s,p,h
cepbec,Euphorbiaceae,Cephalomappa,beccariana,Cephalomappa beccariana,yes,yes,n,F,na,181.76,0.51,na,U,2,s,p,h
chi218,Oleaceae,Chionanthus,sp. TFD218,Chionanthus sp. TFD218,yes,yes,n,F,na,101.76,0.61,J,W,1,s,p,h
chi236,Meliaceae,Chisocheton,sp. TFD236,Chisocheton sp. TFD236,yes,yes,n,F,na,167.39,0.5,N,U,3,s,p,i
chicer,Meliaceae,Chisocheton,ceramicus,Chisocheton ceramicus,yes,yes,n,F,30,167.39,0.45,N,U,2,s,p,i
chicur,Oleaceae,Chionanthus,curvicarpus,Chionanthus curvicarpus,yes,yes,n,F,23,101.76,0.61,J,W,1,s,p,h
