species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
garfor,Clusiaceae,Garcinia,forbesii,Garcinia forbesii,yes,yes,n,F,15,145.49,0.72,O,S,3,s,p,h
garfor1,Clusiaceae,Garcinia,cf. forbesii,Garcinia cf. forbesii,yes,yes,n,F,15,145.49,0.72,O,S,3,s,p,h
gartub,Rubiaceae,Gardenia,tubifera,Gardenia tubifera,yes,yes,n,F,29,182.34,0.67,J,S,4,s,p,k
gesunk,Gesneriaceae,Unknown,sp.,Unknown sp.,no,no,n,C,na,206.25,na,N,S,4,s,p,na
gletru,Gleicheniaceae,Gleichenia,truncata,Gleichenia truncata,no,no,n,A,2,172.31,na,Q,na,na,v,na,m
glo137,Phyllanthaceae,Glochidion,sp. TFD137,Glochidion sp. TFD137,yes,yes,n,F,na,160.08,0.53,na,U,2,s,p,d
gloelm,Phyllanthaceae,Glochidion,elmeri,Glochidion elmeri,yes,yes,n,F,na,178.22,0.53,na,U,2,s,p,d
glorub,Phyllanthaceae,Glochidion,rubrum,Glochidion rubrum,yes,yes,n,F,18,160.08,0.64,na,U,2,s,p,i
glorub1,Phyllanthaceae,Glochidion,cf. rubrum,Glochidion cf. rubrum,yes,yes,n,F,18,160.08,0.64,na,U,2,s,p,i
glu010,Anacardiaceae,Gluta,sp. TFD010,Gluta sp. TFD010,yes,yes,n,F,na,112.83,0.56,Q,W,1,s,p,d
glusab1,Anacardiaceae,Gluta,cf. sabahana,Gluta cf. sabahana,yes,yes,n,F,31,112.83,0.53,Q,W,1,s,p,d
gluwal,Anacardiaceae,Gluta,wallichii,Gluta wallichii,yes,yes,n,F,51,112.83,0.53,Q,W,1,s,p,d
gluwal1,Anacardiaceae,Gluta,cf. wallichii,Gluta cf. wallichii,yes,yes,n,F,51,112.83,0.53,Q,W,1,s,p,d
gne076,Gnetaceae,Gnetum,sp. TFD076,Gnetum sp. TFD076,na,na,n,na,na,143.6,na,J,W,na,s,p,i
gnegne,Gnetaceae,Gnetum,gnemon,Gnetum gnemon,yes,yes,n,F,10,143.6,0.61,J,W,1,s,p,k
gomser,Ochnaceae,Gomphia,serrata,Gomphia serrata,yes,yes,n,F,5,203.11,0.7,N,W,1,s,p,na
gon016,Annonaceae,Goniothalamus,sp. TFD016,Goniothalamus sp. TFD016,yes,yes,n,F,na,168.03,0.44,J,T,3,s,p,e
graunk,GRASS,Unknown,sp.,Unknown sp.,no,no,i,B,na,134.28,na,na,na,na,s,na,na
grelae,Malvaceae,Grewia,laevigata,Grewia laevigata,yes,yes,n,F,14,605.05,0.42,N,W,2,s,p,h
harper,Rutaceae,Harrisonia,perforata,Harrisonia perforata,no,yes,n,G,na,134.47,0.79,J,S,na,s,p,h
hel146,Proteaceae,Helicia,sp. TFD146,Helicia sp. TFD146,yes,yes,n,F,na,181.46,0.59,J,W,1,s,p,na
hersum,Malvaceae,Heritiera,sumatrana,Heritiera sumatrana,yes,yes,n,F,40,252.44,0.53,Q,Z,1,s,p,e
hetste1,Dryopteridaceae,Heterogonium,cf. stenosemioides,Heterogonium cf. stenosemioides,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
hom025,Araceae,Homalomena,sp. TFD025,Homalomena sp. TFD025,no,no,n,D,na,223.2,na,J,S,3,s,p,i
hompop,Euphorbiaceae,Homalanthus,populneus,Homalanthus populneus,yes,yes,n,F,12,181.76,0.29,na,U,2,s,p,h
hopdry,Dipterocarpaceae,Hopea,dryobalanoides,Hopea dryobalanoides,yes,yes,n,F,45,154.63,0.61,Q,Z,1,s,p,i
hopdry1,Dipterocarpaceae,Hopea,cf. dryobalanoides,Hopea cf. dryobalanoides,yes,yes,n,F,45,154.63,0.61,Q,Z,1,s,p,i
hopfer,Dipterocarpaceae,Hopea,ferruginea,Hopea ferruginea,yes,yes,n,F,40,154.63,0.7,Q,Z,1,s,p,i
hopfer1,Dipterocarpaceae,Hopea,cf. ferruginea,Hopea cf. ferruginea,yes,yes,n,F,40,154.63,0.7,Q,Z,1,s,p,i
hopsan,Dipterocarpaceae,Hopea,sangal,Hopea sangal,yes,yes,n,F,40,154.63,0.69,Q,Z,1,s,p,i
hor121,Myristicaceae,Horsfieldia,sp. TFD121,Horsfieldia sp. TFD121,yes,yes,n,F,na,205.13,0.45,J,X,1,s,p,n
horgra,Myristicaceae,Horsfieldia,grandis,Horsfieldia grandis,yes,yes,n,F,25,205.13,0.39,J,X,1,s,p,n
hydbor,Achariaceae,Hydnocarpus,borneensis,Hydnocarpus borneensis,yes,yes,n,F,17,123.03,0.63,J,U,4,s,p,i
hydsum,Achariaceae,Hydnocarpus,sumatrana,Hydnocarpus sumatrana,yes,yes,n,F,48,162.31,0.63,J,U,4,s,p,i
hydwoo,Achariaceae,Hydnocarpus,woodii,Hydnocarpus woodii,yes,yes,n,F,na,136.77,0.63,J,S,4,s,p,i
hypcap,Lamiaceae,Hyptis,capitata,Hyptis capitata,no,no,e,C,1,402.53,na,J,U,2,sv,a,l
icaunk,Icacinaceae,Unknown,sp.,Unknown sp.,no,yes,n,G,na,181.24,na,na,na,na,s,p,na
ichfru,Apocynaceae,Ichnocarpus,frutescens,Ichnocarpus frutescens,no,yes,n,G,na,135.5,na,na,X,4,s,p,na
imp235,Poaceae,Imperata,sp. TFD235,Imperata sp. TFD235,no,no,n,B,3,172.92,na,Q,V,4,sv,p,p
impcyl,Poaceae,Imperata,cylindrica,Imperata cylindrica,no,no,n,B,3,172.92,na,Q,V,4,sv,p,p
indunk,INDET,Unknown,sp.,Unknown sp.,na,na,i,na,na,194.54,na,na,na,na,na,na,na
ixo154,Rubiaceae,Ixora,sp. TFD154,Ixora sp. TFD154,no,yes,n,H,na,123.8,0.73,N,W,2,s,p,i
ixoell,Rubiaceae,Ixora,elliptica,Ixora elliptica,no,yes,n,H,25,75.99,0.73,N,W,2,s,p,i
ixofuc,Rubiaceae,Ixora,fucosa,Ixora fucosa,no,yes,n,H,10,171.62,0.73,N,W,2,s,p,i
ixopyr1,Rubiaceae,Ixora,cf. pyrantha,Ixora cf. pyrantha,no,yes,n,H,8,123.8,0.73,N,W,2,s,p,i
jactom,Convolvulaceae,Jacquemontia,tomentella,Jacquemontia tomentella,no,no,n,D,na,204.74,na,P,U,2,sv,p,h
jus004,Acanthaceae,Justicia,sp. TFD004,Justicia sp. TFD004,no,no,n,E,na,207.18,na,L,U,4,s,p,h
kaybor,Calophyllaceae,Kayea,borneensis,Kayea borneensis,yes,yes,n,F,25,98.18,0.69,na,U,na,s,p,na
kne122,Myristicaceae,Knema,sp. TFD122,Knema sp. TFD122,yes,yes,n,F,na,147.67,0.53,N,U,1,s,p,h
knecin1,Myristicaceae,Knema,cf. cinerea,Knema cf. cinerea,yes,yes,n,F,na,147.67,0.53,N,U,1,s,p,e
knelat,Myristicaceae,Knema,latericia,Knema latericia,yes,yes,n,F,20,174.7,0.53,N,U,1,s,p,e
knelau,Myristicaceae,Knema,laurina,Knema laurina,yes,yes,n,F,30,120.65,0.47,N,U,1,s,p,h
koi067,Euphorbiaceae,Koilodepas,sp. TFD067,Koilodepas sp. TFD067,yes,yes,n,F,na,172.78,na,na,U,2,s,p,d
koibre,Euphorbiaceae,Koilodepas,brevis,Koilodepas brevis,yes,yes,n,F,7,172.78,na,na,U,2,s,p,d
koilae,Euphorbiaceae,Koilodepas,laevigatum,Koilodepas laevigatum,yes,yes,n,F,12,112.36,na,na,U,2,s,p,d
koilon,Euphorbiaceae,Koilodepas,longifolium,Koilodepas longifolium,yes,yes,n,F,na,172.78,na,na,U,2,s,p,d
koipec,Euphorbiaceae,Koilodepas,pectinatum,Koilodepas pectinatum,yes,yes,n,F,9,233.2,na,na,U,2,s,p,d
kor030,Arecaceae,Korthalsia,sp. TFD030,Korthalsia sp. TFD030,no,yes,n,G,na,223.2,na,na,na,na,s,p,na
kun097,Leguminosae,Kunstleria,sp. TFD097,Kunstleria sp. TFD097,no,yes,n,G,na,304.91,na,na,Y,na,s,p,h
landom,Meliaceae,Lansium,domesticum,Lansium domesticum,yes,yes,n,F,30,167.39,0.71,M,S,2,s,p,h
las155,Rubiaceae,Lasianthus,sp. TFD155,Lasianthus sp. TFD155,yes,yes,n,F,na,328.52,na,J,W,2,s,p,h
lauunk,Lauraceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,130.94,na,na,W,na,s,p,na
lee194,Vitaceae,Leea,sp. TFD194,Leea sp. TFD194,no,yes,n,H,na,235.4,0.46,N,S,3,s,p,j
leeind,Vitaceae,Leea,indica,Leea indica,no,yes,n,H,16,235.4,0.46,N,S,3,s,p,j
leeind1,Vitaceae,Leea,cf. indica,Leea cf. indica,no,yes,n,H,16,235.4,0.46,N,S,3,s,p,j
legunk,Leguminosae,Unknown,sp.,Unknown sp.,no,yes,n,G,na,304.91,na,na,na,1,s,p,h
lep245,Sapindaceae,Lepisanthes,sp. TFD245,Lepisanthes sp. TFD245,yes,yes,n,F,na,149.06,0.62,N,W,2,s,p,d
lepamo,Sapindaceae,Lepisanthes,amoena,Lepisanthes amoena,yes,yes,n,F,na,149.06,0.56,N,W,2,s,p,d
lepfru,Sapindaceae,Lepisanthes,fruticosa,Lepisanthes fruticosa,yes,yes,n,F,14,149.06,0.62,N,W,2,s,p,d
leucap,Urticaceae,Leucosyke,capitellata,Leucosyke capitellata,yes,yes,n,F,5,206.18,na,na,R,4,s,p,p
licspl,Chrysobalanaceae,Licania,splendens,Licania splendens,yes,yes,n,F,25,170.06,0.82,N,W,1,s,p,d
lit071,Fagaceae,Lithocarpus,sp. TFD071,Lithocarpus sp. TFD071,yes,yes,n,F,na,156.46,0.7,J,Z,1,s,p,h
lit087,Lauraceae,Litsea,sp. TFD087,Litsea sp. TFD087,yes,yes,n,F,na,132.56,0.41,N,W,1,s,p,h
litenc1,Fagaceae,Lithocarpus,cf. encleisacarpus,Lithocarpus cf. encleisacarpus,yes,yes,n,F,na,156.46,0.55,J,Z,1,s,p,h
litewy1,Fagaceae,Lithocarpus,cf. ewyckii,Lithocarpus cf. ewyckii,yes,yes,n,F,na,156.46,0.7,J,Z,1,s,p,h
litlep,Fagaceae,Lithocarpus,leptogyne,Lithocarpus leptogyne,yes,yes,n,F,40,156.46,0.7,J,Z,1,s,p,h
litses,Lauraceae,Litsea,sessiliflora,Litsea sessiliflora,yes,yes,n,F,5,132.33,0.41,N,W,1,s,p,h
liturc1,Fagaceae,Lithocarpus,cf. urceolaris,Lithocarpus cf. urceolaris,yes,yes,n,F,na,156.46,0.7,J,Z,1,s,p,h
loepau,Celastraceae,Loeseneriella,pauciflora,Loeseneriella pauciflora,yes,yes,n,F,na,120.21,na,na,U,3,s,p,na
logunk,Loganiaceae,Unknown,sp.,Unknown sp.,no,yes,n,G,na,174.21,0.75,na,na,na,s,p,na
lop037,Celastraceae,Lophopetalum,sp. TFD037,Lophopetalum sp. TFD037,yes,yes,n,F,na,145.51,0.53,Q,U,4,s,p,h
lopbec,Celastraceae,Lophopetalum,beccarianum,Lophopetalum beccarianum,yes,yes,n,F,36,134.82,0.51,Q,U,4,s,p,h
lopjav,Celastraceae,Lophopetalum,javanicum,Lophopetalum javanicum,yes,yes,n,F,56,193.64,0.53,Q,U,4,s,p,h
loprig,Celastraceae,Lophopetalum,rigidum,Lophopetalum rigidum,yes,yes,n,F,30,108.06,0.53,Q,U,4,s,p,h
lunama,Rutaceae,Lunasia,amara,Lunasia amara,yes,yes,n,F,15,134.47,na,na,X,1,s,p,h
luvsar,Rutaceae,Luvunga,sarmentosa,Luvunga sarmentosa,no,yes,n,G,na,134.47,na,J,S,2,s,p,h
lyg176,Schizaeaceae,Lygodium,sp. TFD176,Lygodium sp. TFD176,no,no,n,A,0.5,203.46,na,Q,na,na,v,p,m
lygcir,Schizaeaceae,Lygodium,circinnatum,Lygodium circinnatum,no,no,n,A,0.5,203.46,na,Q,na,na,v,p,m
mac068,Euphorbiaceae,Macaranga,sp. TFD068,Macaranga sp. TFD068,yes,yes,n,F,na,204.9,0.38,na,U,2,s,p,i
mac170,Rutaceae,Maclurodendron,sp. TFD170,Maclurodendron sp. TFD170,yes,yes,n,F,na,134.47,0.55,J,S,2,s,p,h
machyp1,Euphorbiaceae,Macaranga,cf. hypoleuca,Macaranga cf. hypoleuca,yes,yes,n,F,30,204.9,0.26,na,U,2,s,p,n
maclow,Euphorbiaceae,Macaranga,lowii,Macaranga lowii,yes,yes,n,F,20,204.9,0.68,na,U,2,s,p,i
mactan,Euphorbiaceae,Macaranga,tanarius,Macaranga tanarius,yes,yes,n,F,19,204.9,0.46,N,U,2,s,p,d
mactri,Euphorbiaceae,Macaranga,triloba,Macaranga triloba,yes,yes,n,F,20,204.9,0.32,na,U,2,s,p,n
mactri1,Euphorbiaceae,Macaranga,cf. triloba,Macaranga cf. triloba,yes,yes,n,F,20,204.9,0.32,na,U,2,s,p,n
macwin1,Euphorbiaceae,Macaranga,cf. winkleri,Macaranga cf. winkleri,yes,yes,n,F,20,204.9,0.38,na,U,2,s,p,d
maddub,Sapotaceae,Madhuca,dubardii,Madhuca dubardii,yes,yes,n,F,16,175.22,0.66,J,W,1,s,p,f
maddub1,Sapotaceae,Madhuca,cf. dubardii,Madhuca cf. dubardii,yes,yes,n,F,16,175.22,0.66,J,W,1,s,p,f
madelm1,Sapotaceae,Madhuca,cf. elmeri,Madhuca cf. elmeri,yes,yes,n,F,20,175.22,0.66,J,W,2,s,p,f
madmin,Sapotaceae,Madhuca,mindanaensis,Madhuca mindanaensis,yes,yes,n,F,20,175.22,0.66,J,W,2,s,p,f
mal069,Euphorbiaceae,Mallotus,sp. TFD069,Mallotus sp. TFD069,yes,yes,n,F,na,204.48,0.5,L,U,3,s,p,d
malgra,Euphorbiaceae,Mallotus,graffithii,Mallotus graffithii,yes,yes,n,F,na,204.48,0.5,L,U,3,s,p,d
malkor,Euphorbiaceae,Mallotus,korthalsii,Mallotus korthalsii,yes,yes,n,F,15,258.41,0.5,L,U,3,s,p,d
mallac,Euphorbiaceae,Mallotus,lackeyi,Mallotus lackeyi,yes,yes,n,F,15,282.09,0.5,L,U,3,s,p,d
mallac1,Euphorbiaceae,Mallotus,cf. lackeyi,Mallotus cf. lackeyi,yes,yes,n,F,15,282.09,0.5,L,U,3,s,p,d
malmiq,Euphorbiaceae,Mallotus,miquelianus,Mallotus miquelianus,yes,yes,n,F,10,158.91,0.5,L,U,3,s,p,d
malpel,Euphorbiaceae,Mallotus,peltatus,Mallotus peltatus,yes,yes,n,F,8,287.12,0.47,L,U,3,s,p,d
malpen,Euphorbiaceae,Mallotus,penangensis,Mallotus penangensis,yes,yes,n,F,20,127.5,0.59,L,U,3,s,p,d
malste,Melastomataceae,Macrolens,stellulata,Macrolens stellulata,na,na,n,na,na,183.84,na,J,na,na,s,na,na
malwra,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,yes,yes,n,F,12,134.18,0.5,L,U,3,s,p,d
marpal,Annonaceae,Marsypopetalum,pallidum,Marsypopetalum pallidum,yes,yes,n,F,7,144.33,na,N,T,1,s,p,na
marunk,Marantaceae,Unknown,sp.,Unknown sp.,no,no,n,C,na,332.82,na,na,U,na,s,p,na
mel171,Rutaceae,Melicope,sp. TFD171,Melicope sp. TFD171,yes,yes,n,F,na,134.47,0.37,N,X,2,s,p,h
melmal,Melastomataceae,Melastoma,malabathricum,Melastoma malabathricum,no,yes,n,H,6,130.69,0.44,N,S,4,s,p,h
melmal1,Melastomataceae,Melastoma,cf. malabathricum,Melastoma cf. malabathricum,no,yes,n,H,6,130.69,0.44,N,S,4,s,p,h
membor,Melastomataceae,Memecylon,borneense,Memecylon borneense,yes,yes,n,F,20,183.84,0.78,N,W,1,s,p,h
memcal,Melastomataceae,Memecylon,calypterum,Memecylon calypterum,na,na,i,na,na,183.84,0.78,N,W,1,s,na,h
memcos,Melastomataceae,Memecylon,costatum,Memecylon costatum,yes,yes,n,F,13,183.84,0.78,N,W,1,s,p,h
menunk,Menispermaceae,Unknown,sp.,Unknown sp.,na,na,i,na,na,181.46,na,N,W,na,na,na,na
mer047,Convolvulaceae,Merremia,sp. TFD047,Merremia sp. TFD047,no,yes,n,G,na,242.04,na,P,U,2,sv,p,h
merbor,Convolvulaceae,Merremia,borneensis,Merremia borneensis,no,yes,n,G,na,247.05,na,P,U,2,sv,p,h
merbor1,Convolvulaceae,Merremia,cf. borneensis,Merremia cf. borneensis,no,yes,n,G,na,247.05,na,P,U,2,sv,p,h
mergra,Convolvulaceae,Merremia,gracilis,Merremia gracilis,no,yes,n,G,na,237.04,na,P,U,2,sv,p,h
mergra1,Convolvulaceae,Merremia,cf. gracilis,Merremia cf. gracilis,no,yes,n,G,na,237.04,na,P,U,2,sv,p,h
merpel,Convolvulaceae,Merremia,peltata,Merremia peltata,no,yes,n,G,na,242.04,na,P,U,2,sv,p,h
merpel1,Convolvulaceae,Merremia,cf. peltata,Merremia cf. peltata,no,yes,n,G,na,242.04,na,P,U,2,sv,p,h
mes183,Thelypteridaceae,Mesophlebion,sp. TFD183,Mesophlebion sp. TFD183,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
mezhav,Annonaceae,Mezzettia,havilandii,Mezzettia havilandii,yes,yes,n,F,20,168.03,0.54,J,T,2,s,p,e
mic105,Malvaceae,Microcos,sp. TFD105,Microcos sp. TFD105,yes,yes,n,F,na,322.74,0.49,J,W,na,s,p,h
micanth,Malvaceae,Microcos,antidesmifolia var. hirsuta,Microcos antidesmifolia var. hirsuta,yes,yes,n,F,10,322.74,0.47,J,W,na,s,p,h
miccra1,Malvaceae,Microcos,cf. crassifolia,Microcos cf. crassifolia,yes,yes,n,F,36,322.74,0.49,J,W,na,s,p,h
michet,Polypodiaceae,Microsorum,heterocarpum,Microsorum heterocarpum,no,no,n,A,0.5,172.31,na,Q,na,na,v,p,m
michir,Malvaceae,Microcos,hirsuta,Microcos hirsuta,yes,yes,n,F,16,322.74,0.49,J,W,na,s,p,h
mickin,Celastraceae,Microtropis,kinabaluensis,Microtropis kinabaluensis,yes,yes,n,F,na,126.98,0.54,na,U,1,s,p,na
micret,Malvaceae,Microcos,reticulata,Microcos reticulata,yes,yes,n,F,50,223.75,0.49,J,W,na,s,p,h
micspe,Dryopteridaceae,Microlepia,speluncae,Microlepia speluncae,no,no,n,A,1,172.31,na,Q,na,na,v,p,m
micspe1,Dennstaedtiaceae,Microlepia,cf. speluncae,Microlepia cf. speluncae,no,no,n,A,2,172.31,na,Q,na,na,v,p,m
mikcor,Compositae,Mikania,cordata,Mikania cordata,no,no,n,D,10,499.82,na,Q,R,1,sv,p,d
milbor1,Leguminosae,Milletia,cf. borneensis,Milletia cf. borneensis,yes,yes,n,F,46,304.91,na,na,X,2,s,p,h
miminv,Leguminosae,Mimosa,invisa,Mimosa invisa,no,no,e,D,1,304.91,na,J,Y,2,sv,abp,l
mimpud,Leguminosae,Mimosa,pudica,Mimosa pudica,no,no,e,D,1,304.91,na,Q,Y,2,sv,abp,l
mispen,Sapindaceae,Mischocarpus,pentapetalus,Mischocarpus pentapetalus,yes,yes,n,F,25,149.06,0.75,na,U,1,s,p,na
mitken,Annonaceae,Mitrella,kentii,Mitrella kentii,no,yes,n,G,na,246.62,na,N,T,2,s,p,na
myrunk,Myrtaceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,117.74,na,na,na,na,s,p,na
myx220,Oleaceae,Myxopyrum,sp. TFD220,Myxopyrum sp. TFD220,no,yes,n,H,na,129.58,na,J,S,na,s,p,h
nau157,Rubiaceae,Nauclea,sp. TFD157,Nauclea sp. TFD157,yes,yes,n,F,na,165.32,0.52,J,W,4,s,p,h
nausub,Rubiaceae,Nauclea,subdita,Nauclea subdita,yes,yes,n,F,36,165.32,0.44,J,W,4,s,p,h
neoacu,Annonaceae,Neo-uvaria,acuminatissima,Neo-uvaria acuminatissima,yes,yes,n,F,22,185.1,na,N,T,2,s,p,na
neocal,Rubiaceae,Neonauclea,calycina,Neonauclea calycina,yes,yes,n,F,34,182.34,0.66,J,U,4,s,p,h
neofoe,Annonaceae,Neo-uvaria,foetida,Neo-uvaria foetida,yes,yes,n,F,13,190.08,na,N,T,2,s,p,na
neophi,Euphorbiaceae,Neoscortechinia,philippinensis,Neoscortechinia philippinensis,yes,yes,n,F,35,181.76,0.61,na,U,1,s,p,h
nep127,Oleandraceae,Nephrolepis,sp. TFD127,Nephrolepis sp. TFD127,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
nepaur,Oleandraceae,Nephrolepis,auriculata,Nephrolepis auriculata,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
nepbis,Oleandraceae,Nephrolepis,biserrata,Nephrolepis biserrata,no,no,n,A,1,172.31,na,Q,na,na,v,p,m
nepbis1,Oleandraceae,Nephrolepis,cf. biserrata,Nephrolepis cf. biserrata,no,no,n,A,1,172.31,na,Q,na,na,v,p,m
nephir,Oleandraceae,Nephrolepis,hirsutula,Nephrolepis hirsutula,no,no,n,A,1,172.31,na,Q,na,na,v,p,m
neppil1,Oleandraceae,Nephrolepis,cf. pilosula,Nephrolepis cf. pilosula,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
nepram,Sapindaceae,Nephelium,rambutan ake,Nephelium rambutan ake,yes,yes,n,F,24,155.04,0.72,J,S,1,s,p,d
nepunc,Sapindaceae,Nephelium,uncinatum,Nephelium uncinatum,yes,yes,n,F,40,155.04,0.63,J,S,1,s,p,d
ompsar,Euphorbiaceae,Omphalea,sargentii,Omphalea sargentii,no,yes,n,G,na,124.34,0.48,na,U,na,s,p,d
oph158,Rubiaceae,Ophiorrhiza,sp. TFD158,Ophiorrhiza sp. TFD158,no,no,n,C,na,490.49,na,na,U,4,s,na,d
ophwin,Rubiaceae,Ophiorrhiza,winkleri,Ophiorrhiza winkleri,no,no,n,C,0.5,490.49,na,na,U,4,s,na,d
orcunk,Orchidaceae,Unknown,sp.,Unknown sp.,no,no,n,C,na,223.2,na,na,na,na,na,na,h
oro018,Annonaceae,Orophea,sp. TFD018,Orophea sp. TFD018,yes,yes,n,F,na,235.89,na,N,W,2,s,p,h
oroalb1,Annonaceae,Orophea,cf. alba,Orophea cf. alba,no,yes,n,H,20,235.89,na,N,W,2,s,p,h
oromyr,Annonaceae,Orophea,myriantha,Orophea myriantha,yes,yes,n,F,15,235.89,na,N,W,2,s,p,h
ororub,Annonaceae,Orophea,rubra,Orophea rubra,yes,yes,n,F,7,235.89,na,N,W,2,s,p,h
pae159,Rubiaceae,Paederia,sp. TFD159,Paederia sp. TFD159,no,yes,n,G,na,182.34,na,na,b,na,s,p,h
paldas,Sapotaceae,Palaquium,dasyphyllum,Palaquium dasyphyllum,yes,yes,n,F,36,175.22,0.51,M,W,1,s,p,f
palunk,Palmae,Unknown,sp.,Unknown sp.,yes,yes,i,F,na,223.2,na,na,na,na,s,p,na
panunk,Pandaceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,192.15,na,na,na,na,s,p,na
parmai,Anacardiaceae,Parishia,maingayi,Parishia maingayi,yes,yes,n,F,36,46.84,0.51,Q,W,1,s,p,d
parmal,Dipterocarpaceae,Parashorea,malaanonan,Parashorea malaanonan,yes,yes,n,F,60,154.28,0.42,Q,Z,1,s,p,d
parobl,Chrysobalanaceae,Parinari,oblongifolia,Parinari oblongifolia,yes,yes,n,F,40,225.56,0.63,J,W,1,s,p,d
parpar,Dipterocarpaceae,Parashorea,parvifolia,Parashorea parvifolia,yes,yes,n,F,60,254.28,0.61,Q,Z,1,s,p,d
partom,Dipterocarpaceae,Parashorea,tomentella,Parashorea tomentella,yes,yes,n,F,65,181.67,0.51,Q,Z,1,s,p,d
parxes,Sapindaceae,Paranephelium,xestophyllum,Paranephelium xestophyllum,yes,yes,n,F,40,149.06,0.81,O,U,1,s,p,na
pen106,Malvaceae,Pentace,sp. TFD106,Pentace sp. TFD106,yes,yes,n,F,na,248.26,0.6,na,a,1,s,p,d
penbor,Malvaceae,Pentace,borneensis,Pentace borneensis,yes,yes,n,F,13,148.16,0.6,na,a,1,s,p,d
penbor1,Malvaceae,Pentace,cf. borneensis,Pentace cf. borneensis,yes,yes,n,F,13,148.16,0.6,na,a,1,s,p,d
penlax,Malvaceae,Pentace,laxiflora,Pentace laxiflora,yes,yes,n,F,40,248.26,0.36,na,a,1,s,p,d
per215,Menispermaceae,Pericampyllus,sp. TFD215,Pericampyllus sp. TFD215,no,yes,n,G,na,181.46,na,N,W,na,s,p,h
peralpp,Dipentodontaceae,Perrottetia,alpestris ssp. philippinesis,Perrottetia alpestris spp. philippinesis,yes,yes,n,F,12,196.97,na,na,S,2,s,p,na
pha244,Thymelaeaceae,Phaleria,sp. TFD244,Phaleria sp. TFD244,yes,yes,n,F,na,100.25,na,J,W,2,s,p,h
phrpub,Marantaceae,Phrynium,pubinerve,Unknown sp.,no,no,n,C,1,332.82,na,na,U,2,s,p,na
phy078,Icacinaceae,Phytocrene,sp. TFD078,Phytocrene sp. TFD078,no,yes,n,G,na,181.24,na,na,W,na,s,p,na
phyama,Phyllanthaceae,Phyllanthus,amarus,Phyllanthus amarus,no,no,e,C,1,143.64,na,na,U,3,s,abp,h
phyama1,Phyllanthaceae,Phyllanthus,cf. amarus,Phyllanthus cf. amarus,no,no,e,C,1,143.64,na,na,U,3,s,abp,h
phyano,Icacinaceae,Phytocrene,anomala,Phytocrene anomala,no,yes,n,G,na,181.24,na,na,W,na,s,p,na
pip139,Piperaceae,Piper,sp. TFD139,Piper sp. TFD139,no,no,n,D,na,168.67,na,J,T,1,s,na,h
pip253,Araceae,Piptospatha,sp. TFD253,Unknown sp.,no,no,n,D,na,223.2,na,P,S,na,s,p,i
piparb1,Piperaceae,Piper,cf. arborescens,Piper cf. arborescens,no,no,n,D,na,168.67,na,J,T,1,s,na,h
pipcan1,Piperaceae,Piper,cf. caninum,Piper cf. caninum,no,no,n,D,na,168.67,na,J,T,1,s,na,h
pla238,Lecythidaceae,Planchonia,sp. TFD238,Planchonia sp. TFD238,yes,yes,n,F,na,175.22,0.49,na,U,4,s,p,na
ple061,Dryopteridaceae,Pleocnemia,sp. TFD061,Pleocnemia sp. TFD061,no,no,n,A,na,172.31,na,Q,na,na,v,na,m
ple160,Rubiaceae,Pleiocarpidia,sp. TFD160,Pleiocarpidia sp. TFD160,yes,yes,n,F,na,182.34,na,J,S,4,s,p,h
pleirr,Dryopteridaceae,Pleocnemia,irregularis,Pleocnemia irregularis,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
plesan,Rubiaceae,Pleiocarpidia,sandakanica,Pleiocarpidia sandakanica,yes,yes,n,F,20,182.34,na,J,S,4,s,p,h
pne184,Thelypteridaceae,Pneumatopteris,sp. TFD184,Pneumatopteris sp. TFD184,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
pnemic1,Thelypteridaceae,Pneumatopteris,cf. michaelis,Pneumatopteris cf. michaelis,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
poaunk,Poaceae,Unknown,sp.,Unknown sp.,no,no,i,B,na,172.92,na,na,V,na,na,na,na
pol019,Annonaceae,Polyalthia,sp. TFD019,Polyalthia sp. TFD019,yes,yes,n,F,na,185.03,0.53,N,T,2,s,p,e
polbor,Annonaceae,Polyalthia,borneensis,Polyalthia borneensis,yes,yes,n,F,7,141.88,0.53,N,T,2,s,p,e
polcau,Annonaceae,Polyalthia,cauliflora,Polyalthia cauliflora,yes,yes,n,F,14,228.19,0.53,N,T,2,s,p,e
polcau1,Annonaceae,Polyalthia,cf. cauliflora,Polyalthia cf. cauliflora,yes,yes,n,F,14,228.19,0.53,N,T,2,s,p,e
polins,Annonaceae,Polyalthia,insignis,Polyalthia insignis,yes,yes,n,F,5,185.03,0.43,N,T,2,s,p,e
